name,artist,from_date,to_date,location,description,borough,lat,lng,active
Tilted Head,Mark Manders,2019-03-06,2019-09-01,Doris C. Freedman Plaza,"<p>With <em>Tilted Head</em>, parkgoers will encounter a 13-foot-tall androgynous, detached human head in classical repose, seemingly made of drying moldable clay, but actually cast in bronze. The archetypally minimalist head is mysteriously incomplete, missing a third or more of its form, and is accompanied by remnants of cast bronze objects that appear left behind as if the sculpture was abandoned in the studio, frozen in time. Tensions are evident throughout: the serenity of the face is countered by the disruption of the cracking surface, figurative representation veers towards abstraction of form. Timelessness and specificity meet, allowing viewers to project their own meaning and construct their own narratives about this colossal bodily fragment. <em>Tilted Head</em> is the artist&rsquo;s largest single cast bronze sculpture to date and brings Mark Manders&rsquo; highly distinctive style to an outdoor exhibition in New York for the first time.</p>

<p>This exhibition is presented by&nbsp;<a href=""https://www.publicartfund.org/view/exhibitions/6684_mark_manders_tilted_head"">Public Art Fund</a>&nbsp;.</p>",M,40.765088,-73.972824,1
"Ecology Sampler: 40.684523 Latitude, -73.886898 Longitude",Daniele Frazier,2019-03-20,2020-03-19,,"<em>Ecology Sampler</em> by Daniele Frazier is a 6&rsquo; x 10&rsquo; handmade flag depicting fifteen notable creatures that live or migrate through Highland Park and the Ridgewood Reservoir in Brooklyn. The flag is flanked by eight additional flags along the yardarm that highlight the silhouettes of local tree leaves. Atop the 30-foot flag pole is an eight-inch-diameter, hand painted earth.<p>Flags are typically used to mark territories, boundaries, and ownership. In this case, Frazier subverts their normal use by displaying living things and migrating species that do not know or abide by boundaries.</p>

<p>In quilting a sampler is a quilt that does not repeat the same block pattern within its layout &ndash; a representative collection of one's technical skillset. In this case, the public artwork is not only a sampler of quilt blocks, but a sampler of the local ecology.</p>

<p>The site for this artwork is on the Atlantic Flyway bird migratory path, and features a large body of water. These two characteristics make this park, which is a protected wetland, a uniquely hospitable ecosystem for migrating birds. There are over 160 bird species that inhabit or travel through Highland Park, in addition to a diverse network of local plants and wildlife. Through educating the community about its unique flora and fauna, Frazier hopes to inspire a new generation of citizen conservationists to keep urban communities safe and clean for all wildlife species.</p>",B,40.684528,-73.886889,1
Silent Agitator,Ruth Ewan,2019-04-03,2020-03-31,,"For the High Line, Scottish artist Ruth Ewan presents a monumental-scale, double-sided clock on the park at 24th Street, also visible from street level. The clock is based on an illustration originally produced for the Industrial Workers of the World (IWW) labor union by the North American writer and labor activist Ralph Chaplin. The illustration was one of many images that appeared on &ldquo;stickerettes,&rdquo; known as &ldquo;silent agitators,&rdquo; millions of which were printed in red and black on gummed paper and distributed by union members traveling from job to job. The clock nods to the round-the-clock organizing work of the IWW, and the ubiquity of the clock in labor struggles: both the ways that factory owners separated private and public time and the fights for the now-diminishing labor rights we have today, such as the five-day work week and eight-hour workday. The installation is Ruth Ewan&rsquo;s first public artwork in the United States.<p></p>

<p>This exhibition is presented by the&nbsp;<a href=""https://www.thehighline.org/art/projects/ruth-ewan/"">Friends of the High Line</a>&nbsp;.&nbsp;</p>",M,40.748614,-74.004249,1
Re-Material Wall,Leander Knust,2019-04-14,2020-04-13,West 111th Street People&rsquo;s Garden,"The solar panel atop Leander Mienardus Knust&rsquo;s <i>Re-material Wall </i>powers an electroforming process that slowly transfers copper molecules from suspended pipes to individual wires each floating in a solution-filled jar. Over time these molecules accumulate and take unique forms as a physical trace of their carrier electricity while the steel rusts, wood warps, vines grow, and piping disappears.<p>This project is part of NYC Parks <a href=""https://greenthumb.nycgovparks.org/"">GreenThumb</a>&rsquo;s Art in the Gardens program.&nbsp;</p>",M,40.803848,-73.963566,1
Respecting Black Women and Girls in St. Albans,Tatyana Fazlalizadeh,2019-04-12,2020-04-11,,"<p>Tatyana Fazlalizadeh is the NYC Commission on Human Rights&rsquo; Public Artist in Residence (PAIR).&nbsp; A program administered with the Department of Cultural Affairs, PAIR embeds artists within city agencies to address pressing civic issues through creative practice. Fazlalizadeh&rsquo;s mural features the images of several faces, inspired by local Queens-based women she has met within community conversations, and text capturing the experiences of community members facing the daily indignities of anti-Black racism and sexism. The mural is intended to place, front and center, the voices and images of women of color and challenge societal norms that allow sexism and racism to persist.</p>

<p>This exhibition is presented by the <a href=""https://www1.nyc.gov/site/cchr/index.page"">NYC Commission on Human Rights</a> and the <a href=""https://www1.nyc.gov/site/dcla/index.page"">Department of Cultural Affairs</a>.</p>",Q,40.69929,-73.757835,1
En Plein Air,Various Artists,2019-04-19,2020-03-30,Multiple locations,"?<em>En Plein Air</em>, inspired by the unique site of the High Line, examines and expands the tradition of outdoor painting. The title refers to the mid-19th century practice of&nbsp;<em>en&nbsp;plein&nbsp;air</em>&nbsp;painting (French for &ldquo;in the open air&rdquo;). The inclination to paint outside was one reaction to the overwhelming transformations of life in urban centers, as nature and cities redefined each other under the pressure of modernization&mdash;a history that connects to that of the High Line, a remnant of the industrial era of the neighborhood. The artists in the exhibition not only bring painting outside but imagine nature as context, subject, and collaborator. They approach the history, methodologies, and content of outdoor painting from a variety of perspectives. The High Line is an apt site for the consideration of the importance of landscape painting in our time, as the natural features of the park juxtapose with the artificial scenery of the surrounding billboards, building facades and walls, and variety of advertisements. Through the participation of an international group of artists,&nbsp;<em>En Plein Air</em>&nbsp;challenges the kinds of work traditionally associated with public art&mdash;sculptures and murals&mdash;by presenting freestanding, outdoor paintings that can be viewed in the round and in dialogue with the surrounding landscapes.<p></p>

<p>Artists who are part of this exhibition include Ei Arakawa,&nbsp;Firelei B<span style=""font-size: 9pt; line-height: 107%; font-family: Helvetica; background: white;"">&aacute;</span>ez,&nbsp;Daniel Buren,&nbsp;Sam Falls, Lubaina Himid,&nbsp;Lara Schnitger, Ryan Sullivan, and&nbsp;Vivian Suter.</p>

<p>This exhibition is presented by the&nbsp;<a href=""https://www.thehighline.org/art/projects/en-plein-air/"">Friends of the High Line</a>.&nbsp;</p>",M,,,1
Untitled,Alice Mizrachi and Joe Blens,2018-11-10,2019-11-10,William B. Washington Memorial Garden,"Working together with gardeners at William B. Washington Memorial Garden, Alice Mizrachi and Joe Blens took the gardeners&rsquo; desire to commemorate previous generations of garden members and created a beautiful mural.&nbsp; Along the leaves of each flower are their names delicately inscribed, forever a reminder of past caretakers of the land.<p>This exhibition is presented by Alice Mizrachi, in partnership with&nbsp;<a href=""https://greenthumb.nycgovparks.org/"">GreenThumb</a>, William B. Washington Memorial Garden, and Building Healthy Communities, funded through the Fund for Public Health NYC.</p>",M,40.811379,-73.95155,1
Pieces of Poetry: a community mosaic celebration,Courtney McCloskey,2019-04-13,2020-04-12,,"<em>Pieces of Poetry: a community mosaic celebration</em> is an artist led, community-generated project that will turn hundreds of broken glass shards into a mosaic celebrating three of Fort Greene&rsquo;s literary greats&mdash;Walt Whitman, Richard Wright, and Marianne Moore. The mosaic depicts a bookshelf containing books that display the titles of famous works by Whitman, Wright and Moore on their spines. The artist worked with students from PS 20, The Greene Hill School, Science, Language &amp; Arts International School and Brooklyn Technical High School to create the mosaic pieces and tiles.<p>This exhibition is presented by&nbsp;the <a href=""http://www.fortgreenepark.org/"">Fort Greene Park Conservancy</a>. Funding and support provided by the <a href=""http://lilyauch.org/"">Lily Auchincloss Foundation</a>, the Buckhorn Association, <a href=""https://urbanglass.org/mobile"">UrbanGlass</a>, <a href=""https://gasworksnyc.com/"">GasWorksNYC</a>, <a href=""https://www1.nyc.gov/site/dcla/index.page"">NYC Department of Cultural Affairs</a>, and the <a href=""https://council.nyc.gov/"">New York City Council</a>.</p>",B,40.691587,-73.975522,1
Community: You never really know your own language until you study another,Jose Carlos Casado,2019-04-06,2020-04-05,,"<p>Jose&nbsp;Carlos Casado&rsquo;s installation reflects typical protest posters that people make for different public manifestations. Where protest signs normally reflect someone&rsquo;s opinion on a matter,&nbsp;Jose's&nbsp;sculptures become unique portraits of people from within the community.&nbsp;Jose&nbsp;worked with 10 volunteers from the community, capturing images of their palms and running these photos through 3D imaging software, creating an abstraction of the hand. As no two palms are alike, these photos capture the uniqueness of a person. The rear side of each structure also reflects the volunteers; they are painted in the pantone color matching that person&rsquo;s skin tone and include text about the person it represents.</p>

<p>Participation is a key theme throughout&nbsp;Jose&nbsp;public artwork. The volunteers he worked with became an important part of this piece and he plans on donating the individual artworks back to the volunteers once the work is removed from the park. This work also allows a viewer to connect with it through an interactive augmented reality app that&nbsp;Jose&nbsp;designed.</p>

<p>This project is part of&nbsp;<a href=""https://www.queenscouncilarts.org/artsite"">Queens Council on the Arts</a>' public art program ArtSite.</p>",Q,40.703379,-73.804001,1
Subliminal Standard,Harold Ancart,2019-05-01,2020-03-01,,"<em>Subliminal Standard</em>, an interactive new commission by Brooklyn-based, Belgian-born artist&nbsp;Harold Ancart. The artist has constructed a large scale painted concrete sculpture inspired by New York City&rsquo;s ubiquitous handball courts, which have fascinated Ancart for years because of their unexpected relationship to the history of abstraction. The painting references the traditional boundary lines of the court and the inadvertent abstract compositions created when city courts are repaired and repainted to mask graffiti and weathering over time.<p>Popularized by early 20th century immigrants to the United States, handball is among the most democratic sports, requiring nothing more than a small ball and a wall to play. The handball court is also the only type of playground that offers a freestanding double-sided wall which, according to the artist, &ldquo;offers a unique possibility to show painting in a public space.&rdquo; Ancart&rsquo;s immersive sculpture will create a place for interaction, while bringing to light the ever-present painterly qualities that inherently exist in the structure of the handball court.&nbsp; The title of the work poetically references the unintended abstract compositions and patterns created through their use and wear in relation to the standard lines that mark the limits of the playgrounds.&nbsp;</p>

<p>This exhibition is presented by <a href=""https://www.publicartfund.org/view/exhibitions/6689_harold_ancart_subliminal_standard"">Public Art Fund</a></p>",B,40.699031,-73.990268,1
Field's Jax IV,Fitzhugh Karol,2019-04-29,2020-04-28,,"<em>Field&rsquo;s Jax</em>, created by Brooklyn-based sculptor Fitzhugh Karol, is a series of four works created using steel recycled from a previous single large sculpture, now re-conceived as smaller and more interactive sculptures. Scattered throughout DUMBO, the sculptures&rsquo; lyrical arrangement encourages pedestrians to try to spot the next one and explore the neighborhood. For <em>Field&rsquo;s Jax</em>, Karol worked with nine parts from his monumental sculpture <em>Eyes</em>, which was on view in Staten Island&rsquo;s Tappen Park in 2017. The other two sculptures are located at Front Street at York Street, and in front of Bridge Street on the corner of Prospect and Jay Streets, and exhibited with the NYC DOT Art Program.<p>This exhibition is presented by the <a href=""https://dumbo.is/hosting/fields-jax-fitzhugh-karol"">DUMBO BID</a>.</p>",B,40.701451,-73.987877,1
Field's Jax I,Fitzhugh Karol,2019-04-29,2020-04-28,,"<em>Field&rsquo;s Jax</em>, created by Brooklyn-based sculptor Fitzhugh Karol, is a series of four works created using steel recycled from a previous single large sculpture, now re-conceived as smaller and more interactive sculptures. Scattered throughout DUMBO, the sculptures&rsquo; lyrical arrangement encourages pedestrians to try to spot the next one and explore the neighborhood. For <em>Field&rsquo;s Jax</em>, Karol worked with nine parts from his monumental sculpture <em>Eyes</em>, which was on view in Staten Island&rsquo;s Tappen Park in 2017. The other two sculptures are located at Front Street at York Street, and in front of Bridge Street on the corner of Prospect and Jay Streets, and exhibited with the NYC DOT Art Program.<p>This exhibition is presented by the <a href=""https://dumbo.is/hosting/fields-jax-fitzhugh-karol"">DUMBO BID</a>.</p>",B,40.700869,-73.989601,1
"Chronos Cosmos: Deep Time, Open Space",Various Artists,2019-05-05,2019-09-03,,"Chronos Cosmos: Deep Time, Open Space&nbsp;transforms Socrates Sculpture Park into a gateway to the universe, presenting artworks that consider space, time, and matter in relationship to celestial entities and earth-bound processes. In the open-air environment of the Long Island City waterfront park, the exhibition uses scale to put the universe in context, creating connection points to space and time. Participating artists include Radcliffe Bailey, Beatriz Cortez, Alicja Kwade, Eduardo Navarro, Heidi Neilson, and Oscar Santill&Atilde;&iexcl;n with new commissions by Miya Ando, William Lamson, and (MDR) Maria D. Rapicavoli. Each artist&rsquo;s own notions of time, history, space, and site challenge the reigning system regulated by technocratic and colonial standards. Together the works reveal a coexistence of disjointed times in our contemporary world: clocked and measured time, rhythmic biological time, earthly time, the flowing time of human experience, anticipatory time, historical and anachronistic time, serial and simultaneous time, as well as technologically mediated time.<p>This exhibition is presented by&nbsp;<a href=""https://socratessculpturepark.org/exhibition/chronos-cosmos/"">Socrates Sculpture Park</a>&nbsp;.</p>",Q,40.768812,-73.936829,1
Yearly Sanctuary,Cern,2019-05-10,2020-05-09,,"<p>The Audubon Mural Project enlists artists to paint climate-threatened birds, such as the Chestnut-sided Warbler, Veery, and Wood Thrush shown here in Cern&rsquo;s mural <em>Yearly Sanctuary</em>. The bird species featured in the Audubon Mural Project are among the more than half of North American birds identified as climate-threatened by Audubon scientists in the <a href=""https://nam01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fclimate.audubon.org%2F&amp;data=02%7C01%7Cclennon%40audubon.org%7C26bc46a386dd4c6e034708d6cfed4cad%7C9c32b1b1b0c8422db7a7859d1beca523%7C0%7C0%7C636925015446077263&amp;sdata=YAzMjjGphubsrB3qk6IvT%2FCM0%2BKaEBSnViSA14kZjYI%3D&amp;reserved=0"" target=""_blank"">2014 Birds and Climate Change Report</a>.</p><p>This project is presented by <a href=""http://www.audubonmuralproject.org"">The Audubon Mural Project</a>, a collaboration between the National Audubon Society and the Gitler Gallery, with support from the Forest Park Trust and the Dr. E. Lawrence Deckinger Family Foundation.</p>",Q,40.708026,-73.84729,1
Onwards,The Noguchi Museum's Teen Advisory Board,2019-05-04,2019-11-20,,"<p>The Noguchi Museum&rsquo;s Teen Advisory Board, led by Sejin Park, collected stories from Long Island City community members on how they advocate for an equitable future by supporting each other as strangers, neighbors, and friends. These stories are displayed on vinyl banners along the fence of Rainey Park.</p><p>This project is presented by the <a href=""https://www.noguchi.org/programs/education/teens"">Noguchi Museum&rsquo;s Teen Advisory Board</a> and <a href=""https://longislandcityqueens.com/"">the Long Island City Partnership</a>.</p>",Q,40.766405,-73.939855,1
Race and Revolution: Reimagining Monuments,Various artists,2019-03-14,2019-06-14,,"<p>Race and Revolution: Reimagining Monuments aims to bring the conversation of systemic race and racism from the past into the present by displaying excerpts from historical documents alongside contemporary artworks.</p><p>Reimagining Monuments questions the relationship between historical memory and historical monuments and the implications of the histories that remain absent. Sixteen artists respond to existing New York monuments or to sites they feel should have a monument. Alongside the artists&rsquo; work, quotations from historical documents about the corresponding monuments or sites open up dialogue regarding a need to re-examine these physical, selective sound bites of memory. Three public artworks by Zaq Landsberg, Rose DeSiano and Chip Thomas are displayed on the grounds in Washington Park.</p>

<p>This exhibition is presented by the <a href=""http://theoldstonehouse.org/event/race-and-revolution-reimagining-monuments/"">Old Stone House.</a></p>",B,40.672909,-73.984568,1
"Nicolas Holiber: Birds on Broadway, the Audubon Sculpture Project",Nicolas Holiber,2019-05-17,2020-05-09,Dante Park and Broadway Malls from 64th Street to 157th Street,"<p><em>Nicolas Holiber: Birds on Broadway</em>, the Audubon Sculpture Project features ten oversized sculptures of New York City birds that are in danger of extinction due to climate change, displayed along the Broadway malls, a tree-lined greenway between 64th and 157th Streets in Manhattan. Each sculpture is made entirely out of reclaimed, untreated lumber, allowing for the city&rsquo;s natural forces to affect it and highlight the environmental challenges faced by each species. Holiber gives meaning to materials that had no use is amplified when paired with the exhibition&rsquo;s alarming message about climate change. The birds in this exhibition were chosen from the National Audubon Society&rsquo;s 2014&nbsp;<em>Birds and Climate Change Report</em>. From among the 145 threatened species that reside in or migrate through New York, Holiber decided to showcase the American bittern, brant, common goldeneye, double-crested cormorant, hooded merganser, peregrine falcon, red-necked grebe, scarlet tanager, snowy owl, and wood duck.</p>

<p>This exhibition is presented by&nbsp;<a href=""http://broadwaymall.org/"">Broadway Mall Association</a>, <a href=""http://gitlerand.com/"">Gitler &amp;_______ Gallery</a>, and the <a href=""http://www.nycaudubon.org/"">New York City Audubon Society</a>.</p>",M,40.778721,-73.982043,1
SUPERSTORM,Bob Lobe,2019-05-20,2020-05-19,,"<p>Using the repouss&eacute; technique, artist Robert Lobe has recreated a tree that was torn out of the ground during Superstorm Sandy.&nbsp; Lobe hammered aluminum around the felled tree and corresponding bolder to replicate their shattered forms. Though the original tree was located in along the Appalachian Trail in Northwest New Jersey at Harmony Ridge Farm and Campground, this sculpture also acts as a temporary memorial to and reminder of the storm&rsquo;s devastation in downtown Manhattan, the artist&rsquo;s home.&nbsp;</p>

<p>This majestic sculpture embodies the current conversations around climate change and global warming. Though the crippled tree is ominous and threatening, Lobe has also captured the beauty of the original tree and its surrounding environment.</p>",M,40.722612,-74.005446,1
what was & what is,Matt Keegan,2019-05-12,2019-08-18,,"<p><em>what was &amp; what is </em>speaks the language of urban development while prompting opportunity for reflection on the fastest-growing neighborhood in New York City. <em>what was &amp; what is </em>is an 8-foot-tall rectangular perimeter, a nearly empty room of about 180 square feet. The site positions the work at the feet of brand new residential buildings. Like its neighbors, Keegan&rsquo;s work is constructed mostly in transparent panes, a model home approaching 1:1 scale. Its interior floor shows an enlarged dollhouse view of an empty one-bedroom rental apartment in the Hayden, a building across Jackson Avenue.</p><p>On three sides, the phrase &ldquo;For a long time this neighborhood was about what will be, and now I think it&rsquo;s about what is.&rdquo; traces the upper edges of the sculpture. The quotation is pulled from a developer&rsquo;s comment in a 2017 New York Times article titled &ldquo;Long Island City Grows Ever Skyward.&rdquo; Expressing the apotheosis of longtime speculative interest in Long Island City, it takes stock of the present with a puzzling formulation of self-reflection. If Long Island City is now &ldquo;about what is,&rdquo; then what is it about? Has &ldquo;what will be&rdquo; turned out to be &ldquo;what is&rdquo;? What was the present like when it was ostensibly about the future? The phrase begs the question of whose timeline and whose sense of anticipation guides narratives of a neighborhood&rsquo;s arrival. To this end, the sculpture&rsquo;s back wall is made of mirrored glass, a surface capturing a constant stream of traffic and passersby inside.</p>

<p>This exhibition is presented by <a href=""https://www.sculpture-center.org/exhibitions/12332/what-was-amp-what-is"">SculptureCenter</a>.</p>",Q,40.746338,-73.943704,1
Model to Monument,Art Students League,2019-05-22,2020-05-21,,"<p>Now in its seventh year, the Art Students League&rsquo;s Model to Monument (M2M) sculptors are addressing the theme &ldquo;Coming Ashore&rdquo; with monumental works exploring topics of immigration, refuge, fluidity, organic and ancient forces. The artists are: Damon Hamm &amp; Jeff Sundheim (<em>Wavehenge</em>), Gaia Grossi (<em>Gaea</em>), and Frank Michielli (<em>Moir&eacute;</em>.) &ldquo;The scale and ambition of these installations reflect a long tradition at The League to support great sculpture and elevate the daily lives of New Yorkers,&rdquo; says Executive Director Michael Rips.</p><p>This exhibition is presented by the <a href=""https://www.theartstudentsleague.org/"">Art Students League</a>.</p>",M,40.828096,-73.95405,1
Alley-Oop,Saya Woolfalk,2019-05-25,2020-05-24,,"<p>Saya Woolfalk is a New York-based artist who uses science fiction and fantasy to re-imagine the world in multiple dimensions. Through a series of multi-year projects, Woolfalk has created the world of the Empathics, a fictional race of women who are able to alter their genetic make-up and fuse with plants. With each body of work, Woolfalk continues to build the narrative of these women's lives, and questions the utopian possibilities of cultural hybridity. In her design for Marcus Garvey Park, Woolfalk has turned the court into a fantastical, colorful mandala. Her court has been painted with the nonprofit youth development organization Publicolor, which uses design-based programs to engage at-risk students in education, college and career.</p><p>NYC Parks&rsquo; Creative Courts initiative transforms dated sports courts and asphalt plazas across Manhattan into vibrant and welcoming places by inviting artists to create original murals that re-engage communities with their local parks. The<a href=""https://www.facebook.com/artistinresidence/""> Facebook Art Department&rsquo;s Artist in Residence program (FB AIR)</a> invites artists to create site-specific art installations around the world at Facebook offices and, increasingly, in the public realm, with the aim of bringing together diverse communities in real life and encouraging the exploration of creative and innovative thinking.</p>",M,40.803327,-73.943166,1
5b9k3q@^tg6!+2F<%O,Robert Otto Epstein,2019-05-25,2020-05-24,,"Robert Otto Epstein employs a grid-based style that started with an interest in knitting patterns, which provide a coded plan to create something physical. Epstein&rsquo;s work also investigates how larger systems, patterns and language are assembled, pulled apart or remade into something new. Epstein&rsquo;s design, titled &ldquo;5b9k3q@^tg6!+2F&lt;%O,&rdquo; reflects the fast-pace, rapid movements of basketball, and how players attempt to outmaneuver their opponents by executing complex &lsquo;picks and rolls,&rsquo; screens, and other plays in and around the basket. He believes the mural design will provide players with an energetic space on which to dribble, dream, and score.</p><p>NYC Parks&rsquo; Creative Courts initiative transforms dated sports courts and asphalt plazas across Manhattan into vibrant and welcoming places by inviting artists to create original murals that re-engage communities with their local parks. The<a href=""https://www.facebook.com/artistinresidence/""> Facebook Art Department&rsquo;s Artist in Residence program (FB AIR)</a> invites artists to create site-specific art installations around the world at Facebook offices and, increasingly, in the public realm, with the aim of bringing together diverse communities in real life and encouraging the exploration of creative and innovative thinking.</p>",M,40.750048,-74.000641,1
Becoming Biodiversity,Amy M. Youngs,2019-06-01,2020-06-01,Willow Lake,"<p>An augmented reality app that encourages participants to explore and experience local, ecological networks present in Flushing Meadows Corona Park. Cell phones and headphones are used to experience this artwork, which includes mixed-reality animations and storytelling as an overlay to the actual park. The experience is an embodied one, designed to connect humans empathetically with the biodiversity, symbioses, and unseen worlds in public park spaces.</p><p>Fantastic ecologies exist everywhere on earth and at many scales, many of which are invisible to us. This artwork is a guided tour which will allow us to inhabit the worlds of multiple species along the trail, allowing them to become visible and &ldquo;sense-able&rdquo; to us. The viewer re-enacts stories from the perspectives of non-humans; playing the part of a plant calling out to a bird to help with pest control, an ant planting spring flowers while simultaneously feeding her babies, an underground fungal network delivering goods to struggling trees, and a cormorant searching for a meal in a man-made lake.</p>

<p>There are 8 scenes, each takes place at Willow Lake, on the South end of Flushing Meadows Corona Park. <a href=""https://www.google.com/maps/place/40%C2%B043'21.9%22N+73%C2%B049'40.5%22W/@40.7227474,-73.8286418,218m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x89c26084d6f95f7b:0x6220dda7c0a59c62!2sWillow+Lake!3b1!8m2!3d40.7241714!4d-73.8332138!3m5!1s0x0:0x0!7e2!8m2!3d40.7227461!4d-73.8279107"" target=""_blank"">The starting point for the app tour is the East entrance of the Pat Dolan Trail</a>.</p>

<p>The free app can be downloaded for iOS or Android. Links here: <a href=""http://hypernatural.com/bb/"">http://hypernatural.com/bb/</a></p>

<p>Collaborators include Josh Rodenberg, Danielle McPhatter, and Jayne Kennedy, with additional support from Harvestworks, the New York City Urban Field Station, and the Ohio State University.</p>",Q,40.72275,-73.827917,1
City in the Grass,Leonardo Drew,2019-06-03,2019-12-15,,"<p><em>City in the Grass</em> presents a topographical view of an abstract cityscape atop a patterned panorama. Building on the artist&rsquo;s signature techniques of assemblage and additive collage, the installation extends over 100 feet long with a richly textured surface that invites visitor engagement.</p><p>For <em>City in the Grass</em>, Drew has crafted a sprawling work of varied materials that undulates across the lawn and, at various points, crescendo into rising towers. These sculptures grow in and around a patterned surface made of colored sand that mimics Persian carpet designs and reflects the artist&rsquo;s interest in East Asian decorative traditions and global design more broadly. Bringing together domestic and urban motifs, <em>City in the Grass</em> invites the Park&rsquo;s visitors to walk on its surface and to explore the abstract terrain of the work from all angles.</p>

<p>This exhibition is presented by <a href=""https://www.madisonsquarepark.org/mad-sq-art/leonardo-drew-city-in-the-grass"">Mad. Sq. Art</a></p>",M,40.742088,-73.988081,1
Sing for Hope Pianos,Various Artists,2019-06-04,2019-06-23,Various Locations,"?The Sing for Hope Pianos places artist-designed pianos throughout NYC&rsquo;s parks and public spaces for anyone and everyone to play. Each summer, the pianos bring individuals and communities together in an open festival of art for all. After their time on the streets, Sing for Hope transports the instruments to NYC public schools, where they become hubs for Sing for Hope&rsquo;s ongoing creative programs and enrich students&rsquo; lives for years to come. This June, Sing for Hope will place its 500th unique piano artwork in the five boroughs, making NYC host to more street pianos than any other city in the world. As New York City&rsquo;s largest recurring public art project, the Sing for Hope Pianos impacts an estimated 2 million people each year.&nbsp;<div><br></div><div>For more information and a list of locations visit&nbsp;<a href=""https://www.singforhope.org/2019-sfh-pianos/"">Sing for Hope&rsquo;s Pop-Up Pianos website</a>.&nbsp;<p>This exhibition is present by&nbsp;<a href=""http://www.singforhope.org/"">Sing for Hope</a>.</p></div>",c,,,1
Brick House,Simone Leigh,2019-06-05,2020-09-30,,"<p>For the inaugural High Line Plinth commission, Simone Leigh presents&nbsp;<em>Brick House</em>, a sixteen-foot-tall bronze bust of a Black woman. The&nbsp;torso is a combination of the forms of a skirt and a clay house. The figure stands tall and monumental atop the Plinth, gazing resolutely down 10th Avenue.&nbsp;<em> Brick House</em>&nbsp;is the first monumental work in&nbsp;<em>Anatomy of Architecture</em>, Leigh&rsquo;s continuing series of sculptures that combine architectural forms from regions as varied as West Africa and the American South with the human body. The sculpture references numerous architectural forms: Batammaliba architecture from Benin and Togo; the&nbsp;<em>teleuk</em>&nbsp;of the Mousgoum people of Cameroon and Chad; and the restaurant Mammy&rsquo;s Cupboard in the southern U.S. All three references inform both the formal elements of the work&mdash;the conflated image of woman and architecture&mdash;and its conceptual framework.</p>

<p>Leigh&rsquo;s&nbsp;<em>Brick House</em>&nbsp;will be centered on the Spur, standing in sharp contrast to the disparate elements of the immediate architectural landscape. The Plinth is the focal point of the Spur, a site whose architectural and human scales are in constant vertiginous negotiation, surrounded by a competitive landscape of glass-and-steel towers shooting up from among older industrial-era brick buildings. In this space, Leigh&rsquo;s magnificent Black female figure challenges visitors to think more immediately about the architecture around them, and how it reflects customs, values, priorities, and society as a whole.</p>

<p>This exhibition is presented by the&nbsp;<a href=""https://www.thehighline.org/art/projects/simoneleigh/"">Friends of the High Line</a>&nbsp;.&nbsp;</p>",M,40.752099,-74.000973,1
Color Columns,Bennett Lieberman,2019-06-01,2020-01-23,,"Placed along the park&rsquo;s waterfront pathway near a semicircle of benches, three &ldquo;color columns&rdquo; create fortuitous interactions among themselves, and harmonize with the East River and the park&rsquo;s green foliage. Texts inscribed on the colorful prism facets riff on the poetic and lucid state of mind produced by epicyclic movement from one season into another. The prism facets are inspired by the luminous arrays of elegantly designed paint chips found in local hardware emporia and home furnishing mega-stores alike. When paired with their given names, these color groups present perfect opportunities to develop brief narratives or small poems that draw us deeper into the experience of color. The chromatic fields, especially in large format, add a physical dimension, like song lyrics, to the experience of language.",Q,40.756371,-73.949704,1
LEAP's Public Art Exhibition: Empowering Students Through Social Justice and Visual Arts,LEAP,2019-06-05,2019-08-26,Various Locations,"LEAP&rsquo;s Public Art Program uses a social justice framework to empower middle and high school students to have a voice in their communities and express themselves on social issues through the creation and public exhibition of art. This program instills social responsibility and civic&nbsp;engagement,&nbsp;imparts artistic skills, concepts&nbsp;and techniques, and fosters peer leadership, self-confidence and collaboration. As part of each residency, students have a unique opportunity to meet with world-renowned artists at their studios, as well as galleries, museums, exhibitions, and other sites. For this year&rsquo;s public art exhibition, students from seven New York City public middle schools in the Bronx, Brooklyn, Queens, and Staten Island have adorned wood panels and small sculptural seating elements with colorful painted murals that touch upon critical social issues in their community and across the globe.</p><p>The tables can be found in Joyce Kilmer Park and Tremont Park in the Bronx, Coffey Park and South Oxford Park in Brooklyn, Auburndale Park and Evergreen Park in Queens, and Snug Harbor Cultural Center in Staten Island.</p>

<p>This exhibition is presented by&nbsp;<a href=""http://leapnyc.org/"">LEAP</a>.</p>",c,,,1
